func,treatment,n,mean_time,median_time,sd_time,iqr_time,mean_energy,median_energy,sd_energy,iqr_energy,mean_cpu,mean_mem
bfs,baseline,30,25.470200483333333,25.449821115,0.22534082692785082,0.3406542574999989,79.98433333333334,78.8,2.430647257821262,2.6299999999999955,25.027068874333334,4.034375
bfs,optimized,30,9.343091130233333,9.336601615,0.07969609989829672,0.0761932139999999,36.894666666666666,36.55,1.1092517929802441,0.02750000000000341,24.752238131,4.046354166666666
equilibrium_index,baseline,30,5.9669553042,6.191910267,0.4093384942991351,0.7806800007500003,27.832333333333334,28.62,1.2326861147393784,2.6374999999999993,24.592758768666666,4.055208333333334
equilibrium_index,optimized,30,5.223024264933334,5.15523839,0.3972805916769571,0.6812239890000003,26.328333333333333,25.98,1.1427645949801872,0.019999999999999574,24.457584105666665,4.060416666666667
floyd_warshall,baseline,30,1.6016855081,1.6209619050000001,0.08064191327583263,0.10558158150000008,15.86,15.42,1.0080674580602231,0.019999999999999574,22.378784557333333,4.060416666666667
floyd_warshall,optimized,30,1.5692893664,1.5302830935,0.07220071289501798,0.10997736449999973,15.690666666666667,15.41,0.8058105079437993,0.019999999999999574,23.37682149766667,4.0078125
knapsack,baseline,30,165.33963717,165.13060845,0.7447965332379634,0.34512047499998744,448.657,448.38,2.120180782792856,0.01999999999998181,25.275404282333334,4.024479166666667
knapsack,optimized,30,0.5608502784666667,0.549239516,0.032702994701769135,0.010139941999999902,13.204,12.76,1.0089345694926117,0.01750000000000007,22.725666667,4.072395833333333
max_subarray,baseline,30,24.563486925666666,24.614637495,0.1565189329162447,0.14663618750000396,77.02533333333334,76.15,1.2735146407599272,2.6474999999999937,25.151001551666667,4.058333333333334
max_subarray,optimized,30,29.525373897,29.575712565,0.17771403322300985,0.2578467724999989,90.04566666666666,89.345,1.1918304766440033,1.9699999999999989,25.173608668666667,4.0859375
mergesort,baseline,30,39.89373410566667,39.895836355,0.07921757385670967,0.09797524999999752,118.29433333333334,118.38,0.4866116722194716,0.030000000000001137,25.208408079,4.030729166666666
mergesort,optimized,30,34.074592241333335,34.05891144500001,0.07525726848682565,0.1004907424999999,102.539,102.54,0.01398274799098208,0.01999999999999602,25.205215154333334,4.038020833333333
prefix_sum,baseline,30,6.320767204066667,6.310414076,0.08077717127346438,0.11171936974999941,28.71066666666667,28.62,0.48364231107035205,0.017499999999998295,24.545355239333333,4.042708333333334
prefix_sum,optimized,30,6.574418894366667,6.5665735005000005,0.05274382926936808,0.0842093825000001,28.699333333333335,28.61,0.4894961049708251,0.019999999999999574,24.689527260333332,4.0546875
product_sum,baseline,30,0.6053188563,0.6110314130000001,0.05490461678069791,0.10529768424999997,12.76,12.76,0.010170952554311939,0.01750000000000007,22.760909090333335,4.034375
product_sum,optimized,30,0.6357945203666666,0.6562348605,0.05130063638472862,0.014891505499999957,13.297666666666666,12.77,1.0810489265566086,0.019999999999999574,22.093343435,4.017708333333333
stock_span,baseline,30,0.9740780591666667,0.980945468,0.026313831104065898,0.011060893750000078,15.417333333333334,15.42,0.012847469449831776,0.009999999999999787,22.570760683333333,4.024479166666667
stock_span,optimized,30,0.9956665038666667,0.985774994,0.033214840223807836,0.015090227249999977,15.414,15.41,0.01037237710925259,0.009999999999999787,22.471344321,4.047916666666667
strassen,baseline,30,2.5763518889,2.5964151625,0.05157283127069856,0.07294929075,18.047333333333334,18.05,0.01387961376122907,0.019999999999999574,24.066162774,4.028125
strassen,optimized,30,2.5841396173333333,2.6025475265,0.04749561210274261,0.02848678824999995,18.046,18.05,0.011626367179523747,0.010000000000001563,24.036198412666668,4.030729166666666
